,Storm ID,Name,Date,Year,Status,Max Latitude,Max Longitude,Max Windspeed,Max Pressure,Start Date,End Date,Duration,Landfall,Lf Latitude,Lf Longitude,Lf Windspeed,Nearest City,Storm Category,Category Value
3630,AL041996,DOLLY,1996-08-23 12:00:00,1996,HU,21.6N,97.7W,80.5546,989,1996-07-28 18:00:00,1996-08-23 18:00:00,26 days 00:00:00.000000000,L,19.1,-87.7,74.80069999999999,"felipe carrillo puerto, mx",Category One,1
3938,AL041997,CLAUDETTE,1997-07-13 06:00:00,1997,TS,44.0N,53.0W,46.0312,990,1997-07-13 06:00:00,1997-07-16 12:00:00,3 days 06:00:00.000000000,,,,,,Tropical Storm,0
4152,AL041998,DANIELLE,1998-08-26 06:00:00,1998,HU,18.4N,49.1W,103.57019999999999,975,1998-08-24 18:00:00,1998-09-03 18:00:00,10 days 00:00:00.000000000,,,,,,Category Two,2
4951,AL041999,CINDY,1999-08-28 12:00:00,1999,HU,30.1N,58.0W,138.09359999999998,942,1999-08-20 18:00:00,1999-08-31 12:00:00,10 days 18:00:00.000000000,,,,,,Category Four,4
5952,AL042001,CHANTAL,2001-08-19 06:00:00,2001,TS,15.4N,78.4W,69.04679999999999,997,2001-08-17 12:00:00,2001-08-21 18:00:00,4 days 06:00:00.000000000,L,18.1,-87.8,69.04679999999999,"san pedro, bz",Tropical Storm,0
6286,AL042002,DOLLY,2002-08-30 12:00:00,2002,TS,10.3N,36.3W,57.538999999999994,997,2002-08-08 18:00:00,2002-09-04 06:00:00,26 days 12:00:00.000000000,,,,,,Tropical Storm,0
6863,AL042003,CLAUDETTE,2003-07-15 15:03:00,2003,HU,28.3N,96.2W,92.0624,979,2003-07-08 18:00:00,2003-07-16 18:00:00,8 days 00:00:00.000000000,L,20.8,-86.9,57.538999999999994,"playa del carmen, mx",Category One,1
7311,AL042004,DANIELLE,2004-08-16 18:00:00,2004,HU,19.0N,38.2W,109.32409999999999,964,2004-08-14 00:00:00,2004-08-20 12:00:00,6 days 12:00:00.000000000,,,,,,Category Two,2
8173,AL042005,DENNIS,2005-07-08 12:00:00,2005,HU,20.9N,79.5W,149.60139999999998,938,2005-07-05 12:00:00,2005-07-11 00:00:00,5 days 12:00:00.000000000,L,19.9,-77.6,138.09359999999998,"niquero, cu",Category Four,4
8949,AL042006,CHRIS,2006-08-02 06:00:00,2006,TS,18.5N,62.2W,63.292899999999996,1001,2006-08-01 06:00:00,2006-08-03 12:00:00,2 days 06:00:00.000000000,,,,,,Tropical Storm,0
